gameId,championId,point
3024089727,120,221514.0
3024089727,6,14304.0
3024057809,127,8290.0
3024057809,23,151706.0
3024057809,141,70750.0
3024057809,22,64651.0
3024057809,25,8114.0
3024057809,120,57074.0
3024057809,37,5634.0
3024057809,86,129.0
3024057809,67,297578.0
3024057809,238,15917.0
3024041597,90,191139.0
3024041597,53,38839.0
3024041597,83,160162.0
3024041597,11,96401.0
3024041597,145,89529.0
3024041597,555,1783.0
3024041597,8,34135.0
3024041597,64,80596.0
3024041597,119,53156.0
3024041597,23,11521.0
3023869955,6,100872.0
3023869955,51,110803.0
3023869955,497,10344.0
3023869955,24,24544.0
3023869955,38,3162.0
3023869955,67,32548.0
3023869955,64,80596.0
3023869955,36,15918.0
3023869955,115,112844.0
3023869955,99,141820.0
3023521391,145,95993.0
3023521391,3,55129.0
3023521391,84,1407.0
3023521391,19,120875.0
3023521391,61,9029.0
3023521391,91,25055.0
3023521391,99,14870.0
3023521391,114,7103.0
